2026-01-10 07:55:25 | INFO     | root | setup_logging:127 | ======================================================================
2026-01-10 07:55:25 | INFO     | root | setup_logging:128 | HVAC Maintenance System - Logging Started
2026-01-10 07:55:25 | INFO     | root | setup_logging:129 | Log directory: C:\Users\Yiannis\PycharmProjects\Python-HVACR-Maintenance\logs
2026-01-10 07:55:25 | INFO     | root | setup_logging:130 | Main log: hvac_app.log
2026-01-10 07:55:25 | INFO     | root | setup_logging:131 | Error log: hvac_errors.log
2026-01-10 07:55:25 | INFO     | root | setup_logging:132 | ======================================================================
2026-01-10 07:55:25 | INFO     | __main__ | __init__:22 | ======================================================================
2026-01-10 07:55:25 | INFO     | __main__ | __init__:23 | HVAC Maintenance App Starting...
2026-01-10 07:55:25 | INFO     | __main__ | __init__:24 | ======================================================================
2026-01-10 07:55:25 | INFO     | __main__ | __init__:41 | Initializing database...
2026-01-10 07:55:25 | INFO     | database_refactored | init_database:121 | Initializing database tables...
2026-01-10 07:55:25 | INFO     | __main__ | __init__:44 | Database initialized successfully
2026-01-10 07:55:25 | INFO     | __main__ | __init__:50 | Creating UI layout...
2026-01-10 07:55:28 | INFO     | __main__ | __init__:52 | UI layout created successfully
2026-01-10 07:55:28 | INFO     | __main__ | __init__:55 | Loading initial data...
2026-01-10 07:55:28 | INFO     | __main__ | __init__:57 | Initial data loaded successfully
2026-01-10 07:55:28 | INFO     | __main__ | __init__:63 | ======================================================================
2026-01-10 07:55:28 | INFO     | __main__ | __init__:64 | HVAC Maintenance App is READY!
2026-01-10 07:55:28 | INFO     | __main__ | __init__:65 | ======================================================================
2026-01-10 07:57:21 | INFO     | database_refactored | add_task:716 | Adding new task: unit_id=11, type=1, status=completed, priority=low
2026-01-10 07:57:21 | DEBUG    | database_refactored | add_task:717 | Task details: description='Ήταν σε αρκετά καλή κατάσταση, αλλά το καθαρίσαμε....', technician=None, location=Τροφοδοσία
2026-01-10 07:57:21 | INFO     | database_refactored | add_task:735 | ✅ Task created successfully with ID: 23
2026-01-10 07:57:47 | WARNING  | database_refactored | delete_task:891 | ⚠️  Deleting task 10...
2026-01-10 07:57:47 | DEBUG    | database_refactored | delete_task:902 | Task 10 has 0 parent(s) and 0 child(ren)
2026-01-10 07:57:47 | WARNING  | database_refactored | delete_task:944 | ✅ Task 10 deleted successfully
2026-01-10 09:28:11 | INFO     | root | setup_logging:127 | ======================================================================
2026-01-10 09:28:11 | INFO     | root | setup_logging:128 | HVAC Maintenance System - Logging Started
2026-01-10 09:28:11 | INFO     | root | setup_logging:129 | Log directory: C:\Users\Yiannis\PycharmProjects\Python-HVACR-Maintenance\logs
2026-01-10 09:28:11 | INFO     | root | setup_logging:130 | Main log: hvac_app.log
2026-01-10 09:28:11 | INFO     | root | setup_logging:131 | Error log: hvac_errors.log
2026-01-10 09:28:11 | INFO     | root | setup_logging:132 | ======================================================================
2026-01-10 09:28:11 | INFO     | __main__ | __init__:23 | ======================================================================
2026-01-10 09:28:11 | INFO     | __main__ | __init__:24 | HVAC Maintenance App Starting...
2026-01-10 09:28:11 | INFO     | __main__ | __init__:25 | ======================================================================
2026-01-10 09:28:11 | INFO     | __main__ | __init__:42 | Initializing database...
2026-01-10 09:28:11 | INFO     | database_refactored | init_database:121 | Initializing database tables...
2026-01-10 09:28:11 | INFO     | __main__ | __init__:45 | Database initialized successfully
2026-01-10 09:28:11 | INFO     | __main__ | __init__:51 | Creating UI layout...
2026-01-10 09:28:12 | INFO     | __main__ | __init__:53 | UI layout created successfully
2026-01-10 09:28:12 | INFO     | __main__ | __init__:56 | Loading initial data...
2026-01-10 09:28:12 | INFO     | __main__ | __init__:58 | Initial data loaded successfully
2026-01-10 09:28:12 | INFO     | __main__ | __init__:64 | ======================================================================
2026-01-10 09:28:12 | INFO     | __main__ | __init__:65 | HVAC Maintenance App is READY!
2026-01-10 09:28:12 | INFO     | __main__ | __init__:66 | ======================================================================
2026-01-10 09:31:06 | INFO     | database_refactored | update_unit:1595 | Updating unit 16: name='Αντλία Ψυχρού Νερού 1Ε', group_id=8, location='Νέα Πτέρυγα'
2026-01-10 09:31:06 | INFO     | database_refactored | update_unit:1612 | ✅ Unit 16 ('Αντλία Ψυχρού Νερού 1Ε') updated successfully
2026-01-10 09:32:39 | INFO     | database_refactored | add_task:716 | Adding new task: unit_id=11, type=1, status=pending, priority=low
2026-01-10 09:32:39 | DEBUG    | database_refactored | add_task:717 | Task details: description='ααα...', technician=None, location=Τροφοδοσία
2026-01-10 09:32:39 | INFO     | database_refactored | add_task:734 | ✅ Task created successfully with ID: 24
2026-01-10 09:49:20 | INFO     | root | setup_logging:127 | ======================================================================
2026-01-10 09:49:20 | INFO     | root | setup_logging:128 | HVAC Maintenance System - Logging Started
2026-01-10 09:49:20 | INFO     | root | setup_logging:129 | Log directory: C:\Users\Yiannis\PycharmProjects\Python-HVACR-Maintenance\logs
2026-01-10 09:49:20 | INFO     | root | setup_logging:130 | Main log: hvac_app.log
2026-01-10 09:49:20 | INFO     | root | setup_logging:131 | Error log: hvac_errors.log
2026-01-10 09:49:20 | INFO     | root | setup_logging:132 | ======================================================================
2026-01-10 09:49:20 | INFO     | __main__ | __init__:24 | ======================================================================
2026-01-10 09:49:20 | INFO     | __main__ | __init__:25 | HVAC Maintenance App Starting...
2026-01-10 09:49:20 | INFO     | __main__ | __init__:26 | ======================================================================
2026-01-10 09:49:20 | INFO     | __main__ | __init__:43 | Initializing database...
2026-01-10 09:49:20 | INFO     | database_refactored | init_database:121 | Initializing database tables...
2026-01-10 09:49:20 | INFO     | __main__ | __init__:46 | Database initialized successfully
2026-01-10 09:49:20 | INFO     | __main__ | __init__:52 | Creating automatic backup...
2026-01-10 09:49:20 | INFO     | backup_manager | create_backup:80 | Creating backup: hvacr_backup_20260110_094920.db
2026-01-10 09:49:20 | INFO     | backup_manager | create_backup:85 | ✅ Backup created successfully: hvacr_backup_20260110_094920.db (84.0 KB)
2026-01-10 09:49:20 | DEBUG    | backup_manager | list_backups:175 | Found 1 backup(s)
2026-01-10 09:49:20 | DEBUG    | backup_manager | cleanup_old_backups:195 | Backup count (1) within limit (7)
2026-01-10 09:49:20 | INFO     | __main__ | __init__:55 | ✅ Backup created: backups\hvacr_backup_20260110_094920.db
2026-01-10 09:49:20 | INFO     | __main__ | __init__:61 | Creating UI layout...
2026-01-10 09:49:21 | INFO     | __main__ | __init__:63 | UI layout created successfully
2026-01-10 09:49:21 | INFO     | __main__ | __init__:66 | Loading initial data...
2026-01-10 09:49:21 | INFO     | __main__ | __init__:68 | Initial data loaded successfully
2026-01-10 09:49:21 | INFO     | __main__ | __init__:74 | ======================================================================
2026-01-10 09:49:21 | INFO     | __main__ | __init__:75 | HVAC Maintenance App is READY!
2026-01-10 09:49:21 | INFO     | __main__ | __init__:76 | ======================================================================
2026-01-10 09:56:48 | INFO     | root | setup_logging:127 | ======================================================================
2026-01-10 09:56:48 | INFO     | root | setup_logging:128 | HVAC Maintenance System - Logging Started
2026-01-10 09:56:48 | INFO     | root | setup_logging:129 | Log directory: C:\Users\Yiannis\PycharmProjects\Python-HVACR-Maintenance\logs
2026-01-10 09:56:48 | INFO     | root | setup_logging:130 | Main log: hvac_app.log
2026-01-10 09:56:48 | INFO     | root | setup_logging:131 | Error log: hvac_errors.log
2026-01-10 09:56:48 | INFO     | root | setup_logging:132 | ======================================================================
2026-01-10 09:56:48 | INFO     | __main__ | __init__:26 | ======================================================================
2026-01-10 09:56:48 | INFO     | __main__ | __init__:27 | HVAC Maintenance App Starting...
2026-01-10 09:56:48 | INFO     | __main__ | __init__:28 | ======================================================================
2026-01-10 09:56:48 | INFO     | __main__ | __init__:45 | Initializing database...
2026-01-10 09:56:48 | INFO     | database_refactored | init_database:121 | Initializing database tables...
2026-01-10 09:56:48 | INFO     | __main__ | __init__:48 | Database initialized successfully
2026-01-10 09:56:48 | INFO     | __main__ | __init__:54 | Creating automatic backup...
2026-01-10 09:56:48 | INFO     | backup_manager | create_backup:80 | Creating backup: hvacr_backup_20260110_095648.db
2026-01-10 09:56:48 | INFO     | backup_manager | create_backup:85 | ✅ Backup created successfully: hvacr_backup_20260110_095648.db (84.0 KB)
2026-01-10 09:56:48 | DEBUG    | backup_manager | list_backups:175 | Found 2 backup(s)
2026-01-10 09:56:48 | DEBUG    | backup_manager | cleanup_old_backups:195 | Backup count (2) within limit (7)
2026-01-10 09:56:48 | INFO     | __main__ | __init__:57 | ✅ Backup created: backups\hvacr_backup_20260110_095648.db
2026-01-10 09:56:48 | INFO     | __main__ | __init__:63 | Creating UI layout...
2026-01-10 09:56:50 | INFO     | __main__ | __init__:65 | UI layout created successfully
2026-01-10 09:56:50 | INFO     | __main__ | __init__:68 | Loading initial data...
2026-01-10 09:56:50 | INFO     | __main__ | __init__:70 | Initial data loaded successfully
2026-01-10 09:56:50 | INFO     | __main__ | __init__:76 | ======================================================================
2026-01-10 09:56:50 | INFO     | __main__ | __init__:77 | HVAC Maintenance App is READY!
2026-01-10 09:56:50 | INFO     | __main__ | __init__:78 | ======================================================================
2026-01-10 09:57:08 | INFO     | database_refactored | update_task:868 | Updating task 24: status=completed, priority=low
2026-01-10 09:57:08 | DEBUG    | database_refactored | update_task:869 | Task 24 update details: unit_id=11, type=1, technician=None
2026-01-10 09:57:08 | INFO     | database_refactored | update_task:895 | ✅ Task 24 updated successfully
2026-01-10 10:22:07 | INFO     | root | setup_logging:127 | ======================================================================
2026-01-10 10:22:07 | INFO     | root | setup_logging:128 | HVAC Maintenance System - Logging Started
2026-01-10 10:22:07 | INFO     | root | setup_logging:129 | Log directory: C:\Users\Yiannis\PycharmProjects\Python-HVACR-Maintenance\logs
2026-01-10 10:22:07 | INFO     | root | setup_logging:130 | Main log: hvac_app.log
2026-01-10 10:22:07 | INFO     | root | setup_logging:131 | Error log: hvac_errors.log
2026-01-10 10:22:07 | INFO     | root | setup_logging:132 | ======================================================================
2026-01-10 10:22:07 | INFO     | __main__ | __init__:26 | ======================================================================
2026-01-10 10:22:07 | INFO     | __main__ | __init__:27 | HVAC Maintenance App Starting...
